Id,Weekly_Sales
1_2_2013-03-08,46988.74838333334
1_2_2013-03-15,46320.274010562774
1_2_2013-03-22,49970.1858
1_2_2013-03-29,49242.38140000001
1_2_2013-04-05,49521.519100000005
1_2_2013-04-12,45748.26509836843
1_2_2013-04-19,46350.815519320815
1_2_2013-04-26,46524.245105086586
1_2_2013-05-03,47432.18034042471
1_2_2013-05-10,46604.84398484848
1_2_2013-05-17,48155.84743333334
1_2_2013-05-24,50336.03268333335
1_2_2013-05-31,49093.7241
1_2_2013-06-07,47946.8842009009
1_2_2013-06-14,48823.6065
1_2_2013-06-21,48433.1232
1_2_2013-06-28,47899.62000333334
1_2_2013-07-05,51534.70498333335
1_2_2013-07-12,48865.42537000001
1_2_2013-07-19,48720.893670900914
1_2_2013-07-26,48209.30284137711
1_3_2012-11-02,11872.281299999999
1_3_2012-11-09,13844.833449999995
1_3_2012-11-16,11301.275549999998
1_3_2012-11-23,12976.501066666662
1_3_2012-11-30,10616.114733333336
1_3_2012-12-07,14657.76115
1_3_2012-12-14,13416.592100000002
1_3_2012-12-21,17352.57905
1_3_2012-12-28,12565.228916666663
1_3_2013-01-04,13519.601683333336
1_3_2013-01-11,12714.948400000003
1_3_2013-01-18,12198.86026666667
1_3_2013-01-25,11596.761000000004
1_3_2013-02-01,11804.107050000008
1_3_2013-02-08,14425.79233333334
1_3_2013-02-15,12440.600616666668
1_3_2013-02-22,12618.256399999998
1_3_2013-03-01,11453.297246666667
1_3_2013-03-08,11460.506150000005
1_3_2013-03-15,9890.471383333332
1_3_2013-03-22,9648.75756666666
1_3_2013-03-29,10067.603616666662
1_3_2013-04-05,10185.626916666664
1_3_2013-04-12,9533.801999999998
1_3_2013-04-19,9273.280659401706
1_3_2013-04-26,9745.688549999999
1_3_2013-05-03,10784.300093333331
1_3_2013-05-10,10566.60399333333
1_3_2013-05-17,10471.14761
1_3_2013-05-24,10526.049426666666
1_3_2013-05-31,10044.360993333334
1_3_2013-06-07,9753.37573333333
1_3_2013-06-14,12299.459916666663
1_3_2013-06-21,9918.342366666666
1_3_2013-06-28,9723.886933333335
1_3_2013-07-05,15944.884983333337
1_3_2013-07-12,20596.434016666673
1_3_2013-07-19,21361.249300000007
1_3_2013-07-26,27907.37267499999
1_4_2012-11-02,37597.89611666667
1_4_2012-11-09,37710.970316666666
1_4_2012-11-16,37814.873983333324
1_4_2012-11-23,40258.35615
1_4_2012-11-30,40085.14080000001
1_4_2012-12-07,39449.49256666666
1_4_2012-12-14,38132.350699999995
1_4_2012-12-21,44742.912950000005
1_4_2012-12-28,34765.56166666667
1_4_2013-01-04,35987.49591666667
1_4_2013-01-11,36191.31459999999
1_4_2013-01-18,36186.06641999999
1_4_2013-01-25,36045.179719999986
1_4_2013-02-01,39102.222833333326
1_4_2013-02-08,39093.710349999994
1_4_2013-02-15,37975.14926666665
1_4_2013-02-22,37380.09408333333
1_4_2013-03-01,36991.7712
1_4_2013-03-08,38357.761966666665
1_4_2013-03-15,36448.37045
1_4_2013-03-22,39947.69366666667
1_4_2013-03-29,39871.23765
1_4_2013-04-05,39409.53668333333
1_4_2013-04-12,37779.5279
1_4_2013-04-19,38277.14826666667
1_4_2013-04-26,37891.966733333335
1_4_2013-05-03,35581.786601190484
1_4_2013-05-10,35774.54030476191
1_4_2013-05-17,36162.62946373627
1_4_2013-05-24,37005.3265423077
1_4_2013-05-31,37037.000554212456
1_4_2013-06-07,37069.6495875458
1_4_2013-06-14,37303.08507564104
1_4_2013-06-21,37374.01468278388
1_4_2013-06-28,36544.27273754579
1_4_2013-07-05,37648.16191611721
1_4_2013-07-12,37261.63968040293
1_4_2013-07-19,37528.57753992673
1_4_2013-07-26,36219.08204770452
1_5_2012-11-02,29540.22508333334
1_5_2012-11-09,30467.00340000001
1_5_2012-11-16,29655.767258333344
1_5_2012-11-23,59155.37709999998
1_5_2012-11-30,36922.22989166667
1_5_2012-12-07,42636.8600848485
1_5_2012-12-14,49196.9503
1_5_2012-12-21,60468.04289999999
1_5_2012-12-28,32993.497566666665
1_5_2013-01-04,24337.882269803922
1_5_2013-01-11,24671.00501
1_5_2013-01-18,21145.327953137254
1_5_2013-01-25,21654.28778647058
1_5_2013-02-01,31450.38119047619
1_5_2013-02-08,33626.29716666666
1_5_2013-02-15,33491.0121
1_5_2013-02-22,30907.78594679486
1_5_2013-03-01,27405.322018461524
1_5_2013-03-08,25605.4483601282
1_5_2013-03-15,29542.22026159879
1_5_2013-03-22,29620.98561923076
1_5_2013-03-29,30938.88249012819
1_5_2013-04-05,26462.440076666662
1_5_2013-04-12,22814.524683281303
1_5_2013-04-19,19297.596192826757
1_5_2013-04-26,22727.26675393939
1_5_2013-05-03,25917.53587862319
1_5_2013-05-10,28743.11750362319
1_5_2013-05-17,25709.586673333328
1_5_2013-05-24,25557.545638888892
1_5_2013-05-31,26002.31403333333
1_5_2013-06-07,26213.62234
1_5_2013-06-14,28133.031849999996
1_5_2013-06-21,28675.936749999993
1_5_2013-06-28,27230.234439999997
1_5_2013-07-05,25108.830306666667
1_5_2013-07-12,24666.599846666664
1_5_2013-07-19,24630.352373333328
1_5_2013-07-26,24731.316673333335
1_6_2012-11-02,4365.946749999997
1_6_2012-11-09,5028.276588888888
1_6_2012-11-16,3795.983096666667
1_6_2012-11-23,21379.150116666664
1_6_2012-11-30,11466.833416666668
1_6_2012-12-07,11712.67755
1_6_2012-12-14,11331.053100000003
1_6_2012-12-21,20950.193699999996
1_6_2012-12-28,10738.373716666665
1_6_2013-01-04,2905.2375833333326
1_6_2013-01-11,2703.07
1_6_2013-01-18,2668.271466666668
1_6_2013-01-25,2528.636191158536
1_6_2013-02-01,4685.154683333332
1_6_2013-02-08,6531.291366666664
1_6_2013-02-15,4600.648999999999
1_6_2013-02-22,4651.551483333332
1_6_2013-03-01,3678.4950833807584
1_6_2013-03-08,3831.766101436314
1_6_2013-03-15,3817.6093581029813
1_6_2013-03-22,4240.946188058608
1_6_2013-03-29,4033.051199214091
1_6_2013-04-05,4454.124149812383
1_6_2013-04-12,3976.1303364790488
1_6_2013-04-19,4046.1764864790493
1_6_2013-04-26,3852.1011458807584
1_6_2013-05-03,5471.449922547426
1_6_2013-05-10,5633.414303658537
1_6_2013-05-17,5670.814816666668
1_6_2013-05-24,6161.7004166666675
1_6_2013-05-31,5814.730575880756
1_6_2013-06-07,5530.228203658535
1_6_2013-06-14,5247.526796666665
1_6_2013-06-21,5302.037213333333
1_6_2013-06-28,5402.989466666667
1_6_2013-07-05,5219.2203500000005
1_6_2013-07-12,5057.896536991869
1_6_2013-07-19,4992.65328699187
1_6_2013-07-26,5079.307401094435
1_7_2012-11-02,22763.514189999998
1_7_2012-11-09,23543.32898333333
1_7_2012-11-16,26163.192366666663
1_7_2012-11-23,62040.463233333314
1_7_2012-11-30,39555.213416666666
1_7_2012-12-07,59019.63463333333
1_7_2012-12-14,72652.44266666665
1_7_2012-12-21,98337.89091666667
1_7_2012-12-28,33504.56041666665
1_7_2013-01-04,12386.255016666668
1_7_2013-01-11,10946.037666666669
1_7_2013-01-18,11984.946666666667
1_7_2013-01-25,12072.549433333334
1_7_2013-02-01,18558.89333333334
1_7_2013-02-08,20570.73676666667
1_7_2013-02-15,18056.598400000003
1_7_2013-02-22,17972.811200000004
1_7_2013-03-01,17763.824000000004
1_7_2013-03-08,19789.57516666667
1_7_2013-03-15,18359.691177083332
1_7_2013-03-22,24068.265616666664
1_7_2013-03-29,23318.778866666667
1_7_2013-04-05,23419.716933333333
1_7_2013-04-12,20430.76421666667
1_7_2013-04-19,22824.040155654773
1_7_2013-04-26,21839.508043750004
1_7_2013-05-03,26923.528775203253
1_7_2013-05-10,28186.28908333334
1_7_2013-05-17,27765.93828186992
1_7_2013-05-24,32473.629100000002
1_7_2013-05-31,33442.97631666667
1_7_2013-06-07,31668.136241869914
1_7_2013-06-14,31939.62521666667
1_7_2013-06-21,31978.618216666662
1_7_2013-06-28,29536.27667249999
1_7_2013-07-05,31403.530733333333
1_7_2013-07-12,29367.5377672619
1_7_2013-07-19,29426.303316666657
1_7_2013-07-26,24091.089501869912
1_8_2012-11-02,38641.10938333334
1_8_2012-11-09,37860.44908333334
1_8_2012-11-16,37333.74596666667
1_8_2012-11-23,37585.73033333335
1_8_2012-11-30,37434.73356666666
1_8_2012-12-07,39809.750516666674
1_8_2012-12-14,37224.344200000014
1_8_2012-12-21,39671.38580000001
1_8_2012-12-28,35238.45571666668
1_8_2013-01-04,35677.89516666666
1_8_2013-01-11,35585.330216666676
1_8_2013-01-18,35695.82046666666
1_8_2013-01-25,35810.89531666666
1_8_2013-02-01,37584.804683333336
1_8_2013-02-08,37963.765966666666
1_8_2013-02-15,38274.31796666667
1_8_2013-02-22,38042.79586666667
1_8_2013-03-01,37242.37533333333
1_8_2013-03-08,37426.294416666664
1_8_2013-03-15,36784.20003333333
1_8_2013-03-22,39037.03091666667
1_8_2013-03-29,38818.028549999995
1_8_2013-04-05,39182.53506666667
1_8_2013-04-12,37927.01326666667
1_8_2013-04-19,38955.44171666667
1_8_2013-04-26,38373.861450000004
1_8_2013-05-03,49436.00654947088
1_8_2013-05-10,49171.53384285713
1_8_2013-05-17,49330.88220952381
1_8_2013-05-24,49978.73423333335
1_8_2013-05-31,50019.10789947091
1_8_2013-06-07,49159.13123333332
1_8_2013-06-14,50099.93766666667
1_8_2013-06-21,49815.372566666665
1_8_2013-06-28,48512.47394285714
1_8_2013-07-05,49833.32415185187
1_8_2013-07-12,49477.05090000001
1_8_2013-07-19,49298.39628333333
1_8_2013-07-26,48575.49848518518
1_9_2012-11-02,40661.40941190476
1_9_2012-11-09,35740.84394999999
1_9_2012-11-16,35281.002061904765
1_9_2012-11-23,38832.23777857143
1_9_2012-11-30,35222.33176190477
1_9_2012-12-07,34637.83907857142
1_9_2012-12-14,33465.34182857142
1_9_2012-12-21,38297.04165
1_9_2012-12-28,28548.406683333335
1_9_2013-01-04,16712.196149999996
1_9_2013-01-11,16892.980883333326
1_9_2013-01-18,14210.546566666662
1_9_2013-01-25,14486.068833333331
1_9_2013-02-01,25553.201683333325
1_9_2013-02-08,25866.76126666666
1_9_2013-02-15,25640.118816666658
1_9_2013-02-22,25986.951549999987
1_9_2013-03-01,31777.46943333333
1_9_2013-03-08,31092.385383333323
1_9_2013-03-15,34294.08983333332
1_9_2013-03-22,38745.05676666667
1_9_2013-03-29,35041.36493333334
1_9_2013-04-05,33097.87694523809
1_9_2013-04-12,32786.71759523809
1_9_2013-04-19,34263.93754523809
1_9_2013-04-26,32979.90987857142
1_9_2013-05-03,39491.95285
1_9_2013-05-10,41665.97958333334
1_9_2013-05-17,42341.975647368425
1_9_2013-05-24,43049.8168
1_9_2013-05-31,43837.25248333333
1_9_2013-06-07,42942.132216666665
1_9_2013-06-14,42840.702416666674
1_9_2013-06-21,41971.9553
1_9_2013-06-28,39986.33368070176
1_9_2013-07-05,37755.70668333333
1_9_2013-07-12,37838.671650000004
1_9_2013-07-19,37550.352516666666
1_9_2013-07-26,35394.68884736842
1_10_2012-11-02,29215.273724242426
1_10_2012-11-09,29781.06856666668
1_10_2012-11-16,30025.349390909087
1_10_2012-11-23,30747.755732575766
1_10_2012-11-30,29964.471207575756
1_10_2012-12-07,30064.40445757577
1_10_2012-12-14,28745.67593257576
1_10_2012-12-21,30574.54113205128
1_10_2012-12-28,28629.06661666667
1_10_2013-01-04,25563.291283333343
1_10_2013-01-11,26939.57456666667
1_10_2013-01-18,25467.994316666674
1_10_2013-01-25,25220.03160000001
1_10_2013-02-01,34155.10243333333
1_10_2013-02-08,34333.96173333333
1_10_2013-02-15,35108.75626666667
1_10_2013-02-22,34855.00705000001
1_10_2013-03-01,35890.91035000001
1_10_2013-03-08,32323.273216666665
1_10_2013-03-15,33456.6126
1_10_2013-03-22,38012.18270000001
1_10_2013-03-29,35760.62361666668
1_10_2013-04-05,34864.2524909091
1_10_2013-04-12,31209.817040909093
1_10_2013-04-19,32226.799524242426
1_10_2013-04-26,31090.048746464647
1_10_2013-05-03,30091.52224684211
1_10_2013-05-10,30131.96392666667
1_10_2013-05-17,32283.415850000012
1_10_2013-05-24,31503.50666303259
1_10_2013-05-31,31385.96322969925
1_10_2013-06-07,31111.693116666665
1_10_2013-06-14,32636.15696666667
1_10_2013-06-21,32162.668866666667
1_10_2013-06-28,31378.643816666663
1_10_2013-07-05,31460.448892857137
1_10_2013-07-12,31386.008826190468
1_10_2013-07-19,31427.20884999999
1_10_2013-07-26,30436.402398412694
1_11_2012-11-02,27536.16628333334
1_11_2012-11-09,24908.50103333334
1_11_2012-11-16,24324.36029999999
1_11_2012-11-23,26762.82193333334
1_11_2012-11-30,26680.429149999993
1_11_2012-12-07,30064.880350000007
1_11_2012-12-14,28750.946423333342
1_11_2012-12-21,29453.49773
1_11_2012-12-28,23836.52706666667
1_11_2013-01-04,24304.152400000003
1_11_2013-01-11,23594.422583333337
1_11_2013-01-18,22430.526033333335
1_11_2013-01-25,19526.834363333335
1_11_2013-02-01,22263.119203809518
1_11_2013-02-08,24152.60254666667
1_11_2013-02-15,23610.165633333334
1_11_2013-02-22,23174.47358
1_11_2013-03-01,23028.98226333333
1_11_2013-03-08,21296.277746666667
1_11_2013-03-15,21811.610763333334
1_11_2013-03-22,24347.884729999998
1_11_2013-03-29,23306.565446666664
1_11_2013-04-05,23133.489580000005
1_11_2013-04-12,21452.040237142864
1_11_2013-04-19,21237.572353809526
1_11_2013-04-26,21304.41112047619
1_11_2013-05-03,22676.09171190476
1_11_2013-05-10,22275.053283333335
1_11_2013-05-17,26793.72319523809
1_11_2013-05-24,28941.082711904764
1_11_2013-05-31,29113.884945238104
1_11_2013-06-07,29203.091366666664
1_11_2013-06-14,30932.102100000004
1_11_2013-06-21,33227.25388333334
1_11_2013-06-28,34590.08023333333
1_11_2013-07-05,31139.41720000001
1_11_2013-07-12,31088.789266666663
1_11_2013-07-19,29999.631083333337
1_11_2013-07-26,30231.241133333337
1_12_2012-11-02,9591.241733333334
1_12_2012-11-09,9792.058966666666
1_12_2012-11-16,8900.514449999999
1_12_2012-11-23,8843.578266666667
1_12_2012-11-30,8685.317783333334
1_12_2012-12-07,9645.253933333332
1_12_2012-12-14,8451.181
1_12_2012-12-21,9327.656299999997
1_12_2012-12-28,8092.299866666663
1_12_2013-01-04,8788.52665
1_12_2013-01-11,9174.248083333334
1_12_2013-01-18,7968.490016666666
1_12_2013-01-25,8882.476999999999
1_12_2013-02-01,10574.552426190474
1_12_2013-02-08,10359.253759523806
1_12_2013-02-15,10068.470233333337
1_12_2013-02-22,10351.57206666667
1_12_2013-03-01,10804.367196190477
1_12_2013-03-08,11551.358596190477
1_12_2013-03-15,12696.158069523815
1_12_2013-03-22,12916.980296190477
1_12_2013-03-29,11746.232376190479
1_12_2013-04-05,11513.261783333339
1_12_2013-04-12,11516.242915555555
1_12_2013-04-19,11615.138998888891
1_12_2013-04-26,11463.46269888889
1_12_2013-05-03,9343.848821818183
1_12_2013-05-10,9359.225721052633
1_12_2013-05-17,9590.778437719302
1_12_2013-05-24,9935.794388484848
1_12_2013-05-31,9924.714575151516
1_12_2013-06-07,9798.883543779904
1_12_2013-06-14,10257.962198484853
1_12_2013-06-21,10407.907413333336
1_12_2013-06-28,9920.301584385967
1_12_2013-07-05,10271.282631818183
1_12_2013-07-12,10533.863266666667
1_12_2013-07-19,10382.741316666668
1_12_2013-07-26,10138.129266060607
1_13_2012-11-02,41307.29231666665
1_13_2012-11-09,41288.458883333326
1_13_2012-11-16,40784.91690000001
1_13_2012-11-23,40840.580133333344
1_13_2012-11-30,39960.303500000016
1_13_2012-12-07,40693.16449166667
1_13_2012-12-14,38869.0164
1_13_2012-12-21,40388.84511666668
1_13_2012-12-28,37851.794083333334
1_13_2013-01-04,38214.32531666667
1_13_2013-01-11,39335.171066666655
1_13_2013-01-18,37971.973538888895
1_13_2013-01-25,38013.11105555555
1_13_2013-02-01,40380.63786333333
1_13_2013-02-08,42401.42995000001
1_13_2013-02-15,42805.05706666666
1_13_2013-02-22,42558.15341666667
1_13_2013-03-01,39245.6255619658
1_13_2013-03-08,40180.398583333335
1_13_2013-03-15,38855.88673498168
1_13_2013-03-22,41996.27421666667
1_13_2013-03-29,41586.49815000001
1_13_2013-04-05,41742.66263333335
1_13_2013-04-12,39356.216049999995
1_13_2013-04-19,40420.53973333333
1_13_2013-04-26,40290.445550000004
1_13_2013-05-03,43574.23075
1_13_2013-05-10,42930.92353333333
1_13_2013-05-17,43473.067216666655
1_13_2013-05-24,41983.61856666666
1_13_2013-05-31,42473.19086666666
1_13_2013-06-07,43396.24275000001
1_13_2013-06-14,43272.10125
1_13_2013-06-21,43118.05216666667
1_13_2013-06-28,41947.154449999995
1_13_2013-07-05,42764.81058333334
1_13_2013-07-12,42741.47398333334
1_13_2013-07-19,42535.26668333334
1_13_2013-07-26,41651.74740666666
1_14_2012-11-02,15456.62591666666
1_14_2012-11-09,15237.355916666658
1_14_2012-11-16,17411.989699999995
1_14_2012-11-23,29998.84821666666
1_14_2012-11-30,21204.674383333335
1_14_2012-12-07,24734.40268333333
1_14_2012-12-14,27361.403383333334
1_14_2012-12-21,34106.67102254902
1_14_2012-12-28,25361.158205882344
1_14_2013-01-04,15832.92633333333
1_14_2013-01-11,14908.832150000004
1_14_2013-01-18,13585.71021666667
1_14_2013-01-25,13174.219566666668
1_14_2013-02-01,17038.187866666667
1_14_2013-02-08,17687.417216666665
1_14_2013-02-15,18198.053966666666
1_14_2013-02-22,17196.97511666666
1_14_2013-03-01,16513.218535757576
1_14_2013-03-08,15433.468396666669
1_14_2013-03-15,14117.057696484393
1_14_2013-03-22,16011.598311428574
1_14_2013-03-29,15791.395204761908
1_14_2013-04-05,16614.754933333337
1_14_2013-04-12,14755.81723854067
1_14_2013-04-19,14848.71045354067
1_14_2013-04-26,14900.157360055824
1_14_2013-05-03,20582.736062222222
1_14_2013-05-10,20246.805758333336
1_14_2013-05-17,20123.871873333337
1_14_2013-05-24,20391.520646666664
1_14_2013-05-31,19844.501802280698
1_14_2013-06-07,20102.527239999992
1_14_2013-06-14,20057.33251333333
1_14_2013-06-21,19562.041696666667
1_14_2013-06-28,19502.412153947364
1_14_2013-07-05,20786.204683333337
1_14_2013-07-12,20024.417485614027
1_14_2013-07-19,20374.9672022807
1_14_2013-07-26,18140.836923552757
1_16_2012-11-02,6420.406933333333
1_16_2012-11-09,7749.990833333332
1_16_2012-11-16,6298.127978333331
1_16_2012-11-23,8262.243399999998
1_16_2012-11-30,6590.2654416666655
1_16_2012-12-07,7017.150949999998
1_16_2012-12-14,5495.934345
1_16_2012-12-21,6430.181583333332
1_16_2012-12-28,5458.977266666666
1_16_2013-01-04,5778.016366666664
1_16_2013-01-11,6901.832699999996
1_16_2013-01-18,5848.580816666662
1_16_2013-01-25,6834.8970999999965
1_16_2013-02-01,10936.512683333338
1_16_2013-02-08,12532.659016666668
1_16_2013-02-15,12580.39716666666
1_16_2013-02-22,13602.885466666665
1_16_2013-03-01,22230.327300000004
1_16_2013-03-08,26498.16486666667
1_16_2013-03-15,36437.80533222222
1_16_2013-03-22,47913.381967611334
1_16_2013-03-29,32670.058105555563
1_16_2013-04-05,42711.57324687501
1_16_2013-04-12,46262.12205720916
1_16_2013-04-19,45699.342324352
1_16_2013-04-26,41202.206957986105
1_16_2013-05-03,42042.22970161549
1_16_2013-05-10,42305.07101321429
1_16_2013-05-17,41053.065354752755
1_16_2013-05-24,41676.66700940475
1_16_2013-05-31,42418.05212845238
1_16_2013-06-07,37533.58216607143
1_16_2013-06-14,37328.284166071426
1_16_2013-06-21,36970.1369825
1_16_2013-06-28,35752.649365833335
1_16_2013-07-05,35297.55040749999
1_16_2013-07-12,30797.550307499994
1_16_2013-07-19,28092.900149999983
1_16_2013-07-26,23517.534759999995
1_17_2012-11-02,8726.848459090914
1_17_2012-11-09,8881.434550000004
1_17_2012-11-16,9338.984433333337
1_17_2012-11-23,12594.661900000005
1_17_2012-11-30,10484.176166666668
1_17_2012-12-07,9904.165100000006
1_17_2012-12-14,11501.247633333332
1_17_2012-12-21,14418.318300000008
1_17_2012-12-28,11258.431566666664
1_17_2013-01-04,8544.485774999997
1_17_2013-01-11,8875.322641666664
1_17_2013-01-18,8033.746991666669
1_17_2013-01-25,7723.255108333334
1_17_2013-02-01,10243.086583333334
1_17_2013-02-08,10459.319516666668
1_17_2013-02-15,11436.983100000001
1_17_2013-02-22,11428.204683333335
1_17_2013-03-01,10691.420183333334
1_17_2013-03-08,10411.482375
1_17_2013-03-15,9730.550958333333
1_17_2013-03-22,9588.572733333333
1_17_2013-03-29,10288.777183333335
1_17_2013-04-05,9634.247466666671
1_17_2013-04-12,8829.819564655174
1_17_2013-04-19,8190.963771666667
1_17_2013-04-26,9052.948158333335
1_17_2013-05-03,11392.008397333331
1_17_2013-05-10,11966.036267333331
1_17_2013-05-17,11897.735436851848
1_17_2013-05-24,11109.018371666665
1_17_2013-05-31,10299.074339
1_17_2013-06-07,11168.020255666668
1_17_2013-06-14,10922.54628
1_17_2013-06-21,10929.239621666666
1_17_2013-06-28,10903.961217518516
1_17_2013-07-05,10934.050113333333
1_17_2013-07-12,10740.463871666669
1_17_2013-07-19,10617.285389
1_17_2013-07-26,10436.822077518518
1_18_2012-11-02,11511.224800000004
1_18_2012-11-09,10523.970783333338
1_18_2012-11-16,14592.696233333329
1_18_2012-11-23,29690.680200000006
1_18_2012-11-30,27866.60281666666
1_18_2012-12-07,42872.687000000005
1_18_2012-12-14,32104.45018333334
1_18_2012-12-21,25756.259133333322
1_18_2012-12-28,21641.96486666667
1_18_2013-01-04,8310.314435238095
1_18_2013-01-11,5918.397666666666
1_18_2013-01-18,3050.871206074776
1_18_2013-01-25,2303.682390836681
1_18_2013-02-01,6587.772912307689
1_18_2013-02-08,12175.249583333334
1_18_2013-02-15,16075.959184014231
1_18_2013-02-22,5659.320332307692
1_18_2013-03-01,2408.4182156410257
1_18_2013-03-08,3858.7501559440557
1_18_2013-03-15,2708.4508613981952
1_18_2013-03-22,6190.152865354425
1_18_2013-03-29,5477.792607453992
1_18_2013-04-05,6184.8285912635165
1_18_2013-04-12,3621.167702374626
1_18_2013-04-19,4131.623828132201
1_18_2013-04-26,3912.2276591578425
1_18_2013-05-03,1720.2196833333333
1_18_2013-05-10,3313.356366666666
1_18_2013-05-17,2015.5961204761904
1_18_2013-05-24,636.8750122153209
1_18_2013-06-07,452.3733923740512
1_18_2013-07-05,387.05686214285714
1_19_2012-11-02,1265.5746366666667
1_19_2012-11-09,1421.7114199999999
1_19_2012-11-16,1400.6768699999998
1_19_2012-11-23,1679.8485666666663
1_19_2012-11-30,1398.4229366666666
1_19_2012-12-07,1548.9203433333337
1_19_2012-12-14,1677.8366900000003
1_19_2012-12-21,1535.1159000000002
1_19_2012-12-28,2491.2581833333334
1_19_2013-01-04,981.8679490990991
1_19_2013-01-11,893.4787490990991
1_19_2013-01-18,911.1614324324327
1_19_2013-01-25,967.5436657657658
1_19_2013-02-01,1301.0418833333333
1_19_2013-02-08,1224.06835
1_19_2013-02-15,1172.01085
1_19_2013-02-22,1181.136733333333
1_19_2013-03-01,1200.6925133848133
1_19_2013-03-08,1147.4307500514803
1_19_2013-03-15,1154.881778622909
1_19_2013-03-22,1089.2551667181467
1_19_2013-03-29,1082.700916718147
1_19_2013-04-05,993.237569099099
1_19_2013-04-12,982.6996833848134
1_19_2013-04-19,1034.9627667181471
1_19_2013-04-26,1036.6199024324328
1_19_2013-05-03,1495.2736842105264
1_19_2013-05-10,1539.566733333333
1_19_2013-05-17,1539.6318500000002
1_19_2013-05-24,1404.2228808771933
1_19_2013-05-31,1369.5996770676693
1_19_2013-06-07,1297.9139288744589
1_19_2013-06-14,1364.0027437343358
1_19_2013-06-21,1302.9145998268398
1_19_2013-06-28,1327.0260931601733
1_19_2013-07-05,1347.1067370676692
1_19_2013-07-12,1392.9483244010025
1_19_2013-07-19,1344.181396017316
1_19_2013-07-26,1321.4688315438602
1_20_2012-11-02,3687.6698800000013
1_20_2012-11-09,3981.188363333334
1_20_2012-11-16,3599.607963333333
1_20_2012-11-23,5031.696783333333
1_20_2012-11-30,3993.4924499999993
1_20_2012-12-07,3756.2108833333336
1_20_2012-12-14,3646.7404133333334
1_20_2012-12-21,4124.803033333333
1_20_2012-12-28,5064.759183333334
1_20_2013-01-04,3818.743353030303
1_20_2013-01-11,3872.7133363636362
1_20_2013-01-18,3791.747853030303
1_20_2013-01-25,3631.6433363636374
1_20_2013-02-01,4581.326451666668
1_20_2013-02-08,4562.37365
1_20_2013-02-15,4933.028690000003
1_20_2013-02-22,4975.216356666669
1_20_2013-03-01,4977.429051666667
1_20_2013-03-08,4744.841735909092
1_20_2013-03-15,4650.78362248655
1_20_2013-03-22,4618.827615952382
1_20_2013-03-29,4739.756701666668
1_20_2013-04-05,4316.72615
1_20_2013-04-12,4136.92566495671
1_20_2013-04-19,4160.430249433833
1_20_2013-04-26,4129.023801619982
1_20_2013-05-03,5463.1749970370365
1_20_2013-05-10,5719.452789999999
1_20_2013-05-17,5636.863816666667
1_20_2013-05-24,5750.740303638344
1_20_2013-05-31,5846.513803638344
1_20_2013-06-07,5808.706250490196
1_20_2013-06-14,5854.450040305009
1_20_2013-06-21,5935.559440305011
1_20_2013-06-28,5917.221228054299
1_20_2013-07-05,6152.432213638344
1_20_2013-07-12,5822.605281758001
1_20_2013-07-19,5859.368738768582
1_20_2013-07-26,5611.178947076018
1_21_2012-11-02,8150.972371568624
1_21_2012-11-09,8274.26366785714
1_21_2012-11-16,8210.265466666666
1_21_2012-11-23,9571.37135
